uid,reg_date,device,gender,country,age
10000000,4/12/2016,Android,M,UK,42
10000001,3/11/2017,Android,M,UAE,24
10000002,9/27/2016,iOS,F,PAK,55
10000003,4/16/2016,Android,M,USA,24
10000004,3/12/2016,Android,F,BRA,68
10000005,12/1/2017,Android,F,PAK,39
10000006,1/21/2016,Android,F,IND,39
10000007,9/6/2017,iOS,F,USA,44
10000008,5/1/2016,Android,F,UAE,50
10000009,4/11/2017,Android,F,TUR,62
10000010,8/2/2016,iOS,F,UK,49
10000011,11/26/2016,Android,M,BRA,56
10000012,4/3/2017,iOS,F,USA,49
10000013,3/28/2016,iOS,M,BRA,18
10000014,1/7/2017,iOS,M,USA,27
10000015,4/9/2016,iOS,M,USA,62
10000016,10/25/2017,Android,F,PAK,21
10000017,5/10/2016,iOS,M,IND,46
10000018,10/23/2017,iOS,F,TUR,24
10000019,11/4/2016,Android,F,UK,55
10000020,2/8/2018,Android,M,BRA,23
10000021,12/9/2016,Android,M,UK,28
10000022,5/6/2017,iOS,M,IND,26
10000023,2/17/2017,Android,M,PAK,47
10000024,1/20/2017,iOS,F,PAK,39
10000025,7/10/2016,Android,M,IND,56
10000026,10/3/2016,iOS,M,BRA,26
10000027,6/9/2016,Android,M,IND,55
10000028,4/4/2017,iOS,M,UAE,68
10000029,11/9/2016,Android,M,PAK,63
10000030,1/22/2016,Android,F,BRA,50
10000031,9/9/2016,Android,F,USA,43
10000032,1/17/2018,iOS,F,UK,33
10000033,7/14/2017,Android,M,PAK,26
10000034,4/19/2017,Android,M,IND,40
10000035,2/28/2016,Android,F,USA,32
10000036,5/25/2017,iOS,F,UAE,36
10000037,11/12/2017,iOS,F,TUR,59
10000038,4/20/2017,Android,F,UAE,33
10000039,11/30/2017,Android,M,USA,42
10000040,2/21/2018,Android,M,BRA,52
10000041,7/8/2016,Android,M,BRA,68
10000042,11/17/2017,Android,F,USA,30
10000043,7/16/2017,Android,F,BRA,63
10000044,7/20/2017,iOS,F,IND,24
10000045,8/31/2016,iOS,M,BRA,51
10000046,5/19/2017,Android,M,TUR,31
10000047,5/10/2016,iOS,F,IND,40
10000048,4/29/2017,iOS,M,UK,40
10000049,10/8/2017,iOS,F,BRA,34
10000050,1/21/2016,iOS,F,TUR,30
10000051,6/15/2016,Android,F,TUR,44
10000052,9/30/2016,Android,M,UK,19
10000053,1/22/2017,Android,F,UAE,54
10000054,8/23/2017,iOS,F,USA,47
10000055,11/11/2016,Android,M,UAE,21
10000056,1/14/2016,iOS,F,BRA,47
