uid,lapse_date,subscription_date,price
10000000,2016-09-21,2016-10-14,99
10000001,2016-09-29,2016-10-02,499
10000002,2016-10-15,2016-10-21,499
10000003,2018-02-18,2018-02-18,499
10000004,2016-03-03,2016-03-13,99
10000005,2017-02-01,2017-02-03,499
10000006,2017-01-13,2017-01-20,499
10000007,2018-03-01,2018-03-02,299
10000008,2016-06-11,,0
10000009,2018-03-16,2018-03-16,499
10000010,2018-03-12,2018-03-25,199
10000011,2017-02-02,2017-02-16,499
10000012,2018-03-03,2018-03-25,499
10000013,2016-10-22,2016-11-10,499
10000014,2016-09-02,,0
10000015,2016-09-02,,0
10000016,2016-11-08,2016-12-07,299
10000017,2017-07-14,,0
10000018,2016-02-02,2016-02-28,299
10000019,2017-06-27,2017-06-27,99
10000020,2017-05-09,2017-05-22,199
10000021,2017-04-22,2017-04-27,299
10000022,2017-01-28,2017-02-03,499
10000023,2016-09-03,2016-09-09,199
10000024,2016-07-13,2016-08-03,499
10000025,2018-01-03,,0
10000026,2017-09-09,,0
10000027,2017-07-22,2017-07-30,299
10000028,2017-06-25,2017-07-17,99
10000029,2018-03-15,2018-03-28,199
10000030,2016-09-08,,0
10000031,2017-08-08,,0
10000032,2017-10-26,2017-11-24,299
10000033,2017-11-02,2017-11-30,99
10000034,2016-11-09,,0
10000035,2016-04-11,2016-05-10,299
10000036,2017-02-08,2017-03-04,299
10000037,2016-10-16,,0
10000038,2017-04-20,2017-04-21,199
10000039,2016-08-19,2016-08-30,99
10000040,2017-11-03,2017-11-04,99
10000041,2017-02-14,,0
10000042,2017-09-15,2017-10-10,499
10000043,2018-03-07,2018-03-26,99
10000044,2017-03-21,,0
10000045,2016-04-05,,0
10000046,2017-02-12,2017-03-09,199
10000047,2017-11-19,2017-11-21,299
10000048,2017-11-07,2017-11-28,99
10000049,2016-05-12,2016-05-27,199
10000050,2016-03-13,2016-04-12,499
10000051,2016-08-14,2016-08-26,199
10000052,2017-01-25,2017-02-15,499
10000053,2018-03-13,,0
10000054,2016-05-09,,0
10000055,2017-02-22,2017-03-01,299
10000056,2016-04-05,2016-04-09,499
10000057,2016-11-23,2016-11-23,99
10000058,2017-04-02,2017-04-23,499
10000059,2016-09-10,,0
10000060,2018-02-26,,0
10000061,2017-12-26,,0
10000062,2016-06-28,,0
10000063,2017-06-23,,0
10000064,2017-04-17,2017-04-27,199
10000065,2017-03-20,,0
10000066,2016-05-26,2016-06-14,499
10000067,2017-04-28,,0
10000068,2016-12-16,2016-12-22,299
10000069,2018-03-11,2018-04-08,199
10000070,2017-04-26,2017-05-16,299
10000071,2016-04-19,2016-05-04,499
10000072,2018-02-12,,0
10000073,2017-01-22,,0
10000074,2016-05-29,2016-06-08,99
10000075,2017-09-08,2017-09-16,299
10000076,2017-07-05,2017-07-24,199
10000077,2016-11-05,2016-12-03,199
10000078,2017-08-19,2017-08-22,299
10000079,2016-03-16,2016-03-24,99
10000080,2016-09-12,2016-10-05,299
10000081,2017-07-12,,0
10000082,2018-01-24,,0
10000083,2018-01-12,2018-02-05,499
10000084,2016-09-28,,0
10000085,2017-10-06,2017-10-06,199
10000086,2017-05-27,,0
10000087,2016-05-05,2016-05-17,499
10000088,2017-01-30,2017-02-16,99
10000089,2016-08-03,2016-08-31,299
10000090,2016-06-15,,0
10000091,2016-02-25,2016-03-10,99
10000092,2016-12-14,2016-12-15,299
10000093,2016-12-29,,0
10000094,2017-08-15,2017-09-10,299
10000095,2017-12-12,2017-12-15,99
10000096,2016-05-10,,0
10000097,2017-02-04,,0
10000098,2017-09-15,,0
10000099,2016-02-12,2016-03-04,199
10000100,2018-01-20,2018-02-13,299
10000101,2016-04-17,,0
10000102,2017-09-09,,0
10000103,2017-12-13,2017-12-14,499
10000104,2017-01-13,,0
10000105,2017-04-18,,0
10000106,2017-12-22,,0
10000107,2016-04-28,2016-05-01,199
10000108,2017-05-10,2017-05-25,99
10000109,2017-06-08,2017-06-11,499
10000110,2016-09-09,2016-10-08,499
10000111,2017-06-29,2017-07-28,299
10000112,2016-05-28,2016-06-15,499
10000113,2016-06-15,,0
10000114,2016-08-05,,0
10000115,2017-07-26,2017-08-25,199
10000116,2017-09-01,2017-09-15,99
10000117,2016-12-07,2016-12-09,299
10000118,2017-02-13,2017-03-06,299
10000119,2017-03-18,2017-04-06,99
10000120,2017-03-27,2017-04-18,299
10000121,2016-09-04,2016-09-07,99
10000122,2017-12-01,2017-12-09,299
10000123,2016-04-11,,0
10000124,2016-05-20,2016-06-10,99
10000125,2016-11-11,,0
10000126,2018-03-11,2018-04-04,199
10000127,2017-09-24,2017-10-22,99
10000128,2017-08-22,2017-09-16,299
10000129,2016-11-24,,0
10000130,2017-06-13,2017-06-18,499
10000131,2017-08-14,,0
10000132,2017-12-28,,0
10000133,2018-01-11,,0
10000134,2017-07-14,2017-08-05,499
10000135,2016-08-16,,0
10000136,2017-06-21,2017-07-02,99
10000137,2017-06-03,2017-06-03,299
